College Name,Undergraduate Pop.,Admit Rate
Brevard College,677,45%
Brewster Technical College,254,open admission
Brewton-Parker College,783,99%
Briar Cliff University,945,open admission
Briarcliffe College,108,not reported
Bridgerland Technical College,1092,open admission
BridgeValley Community & Technical College,1939,open admission
Bridgewater College,1882,52%
Bridgewater State University,9558,80%
Brigham Young University-Hawaii,3143,37%
Brigham Young University-Idaho,51881,95%
Brigham Young University-Provo,31233,52%
Brighton Center's Center for Employment Training,135,open admission
Brighton Institute of Cosmetology,36,open admission
Brightwood Career Institute-Broomall,339,open admission
Brightwood Career Institute-Harrisburg,178,open admission
Brightwood Career Institute-Philadelphia,424,open admission
Brightwood Career Institute-Philadelphia Mills,586,open admission
Brightwood Career Institute-Pittsburgh,250,open admission
Brightwood College-Arlington,246,open admission
Brightwood College-Bakersfield,170,open admission
Brightwood College-Baltimore,452,open admission
Brightwood College-Beaumont,166,open admission
Brightwood College-Beltsville,529,open admission
Brightwood College-Brownsville,299,open admission
Brightwood College-Charlotte,310,open admission
Brightwood College-Chula Vista,251,open admission
Brightwood College-Corpus Christi,396,open admission
Brightwood College-Dallas,300,open admission
Brightwood College-Dayton,276,open admission
Brightwood College-El Paso,381,open admission
Brightwood College-Fort Worth,200,open admission
Brightwood College-Fresno,190,open admission
Brightwood College-Friendswood,168,open admission
Brightwood College-Hammond,298,open admission
Brightwood College-Houston,371,open admission
Brightwood College-Indianapolis,463,open admission
Brightwood College-Laredo,204,open admission
Brightwood College-Las Vegas,670,open admission
Brightwood College-Los Angeles-Van Nuys,623,open admission
Brightwood College-McAllen,404,open admission
Brightwood College-Modesto,364,open admission
Brightwood College-Nashville,309,open admission
Brightwood College-Palm Springs,261,open admission
Brightwood College-Riverside,295,open admission
Brightwood College-Sacramento,319,open admission
Brightwood College-San Antonio-Ingram,401,open admission
Brightwood College-San Antonio-San Pedro,376,open admission
Brightwood College-San Diego,912,open admission
Brightwood College-Towson,309,open admission
Brightwood College-Vista,495,open admission
Bristol Community College,7637,open admission
Bristol Technical Education Center,59,open admission
Brite Divinity School,0,not reported
Brittany Beauty Academy,103,open admission
Brittany Beauty Academy,164,open admission
Brittany Beauty Academy,108,open admission
-9999,-9999,-9999
Brittany Beauty Academy,81,open admission
Broadview Entertainment Arts University,85,open admission
-9999,-9999,-9999
Broadview University-West Jordan,170,open admission
Broken Arrow Beauty College-Broken Arrow,44,open admission
Broken Arrow Beauty College-Tulsa,48,open admission
Brookdale Community College,12790,open admission
Brookhaven College,13286,open admission
Brookline College-Albuquerque,255,open admission
Brookline College-Phoenix,1056,open admission
Brookline College-Tempe,335,open admission
Brookline College-Tucson,348,open admission
Brooklyn Law School,0,not reported
Broome Delaware Tioga BOCES-Practical Nursing Program,66,57%
Broward College,40754,open admission
Brown Aveda Institute-Mentor,140,open admission
Brown Aveda Institute-Strongsville,113,open admission
Brown College of Court Reporting,198,83%
-9999,-9999,-9999
Brown Mackie College-Albuquerque,-9999,not reported
Brown Mackie College-Atlanta,-9999,not reported
-9999,-9999,-9999
Brown Mackie College-Boise,-9999,not reported
Brown Mackie College-Cincinnati,-9999,not reported
Brown Mackie College-Dallas,-9999,not reported
Brown Mackie College-Findlay,-9999,not reported
Brown Mackie College-Fort Wayne,-9999,not reported
Brown Mackie College-Greenville,-9999,not reported
Brown Mackie College-Indianapolis,-9999,not reported
-9999,-9999,-9999
Brown Mackie College-Louisville,-9999,not reported
Brown Mackie College-Merrillville,-9999,not reported
Brown Mackie College-Miami,-9999,not reported
-9999,-9999,-9999
-9999,-9999,-9999
Brown Mackie College-Phoenix,-9999,not reported
-9999,-9999,-9999
Brown Mackie College-San Antonio,-9999,not reported
Brown Mackie College-South Bend,-9999,not reported
Brown Mackie College-St Louis,-9999,not reported
Brown Mackie College-Tucson,-9999,not reported
Brown Mackie College-Tulsa,-9999,not reported
Brown University,6988,8%
Brownson Technical School,51,open admission
Brunswick Community College,1425,open admission
Bryan College of Health Sciences,567,52%
Bryan College-Dayton,1246,54%
Bryan University,291,not reported
Bryan University,53,not reported
Bryan University,1242,open admission
Bryan University,57,not reported
Bryan University,34,not reported
Bryant & Stratton College-Akron,88,open admission
Bryant & Stratton College-Albany,371,open admission
Bryant & Stratton College-Amherst,282,open admission
Bryant & Stratton College-Bayshore,353,open admission
Bryant & Stratton College-Buffalo,491,open admission
Bryant & Stratton College-Cleveland,263,open admission
Bryant & Stratton College-Eastlake,238,open admission
Bryant & Stratton College-Greece,217,open admission
Bryant & Stratton College-Hampton,303,open admission
Bryant & Stratton College-Henrietta,184,open admission
Bryant & Stratton College-Milwaukee,152,open admission
Bryant & Stratton College-Online,4114,open admission
Bryant & Stratton College-Parma,354,open admission
Bryant & Stratton College-Richmond,675,open admission
Bryant & Stratton College-Southtowns,418,open admission
Bryant & Stratton College-Syracuse,439,open admission
Bryant & Stratton College-Syracuse North,258,open admission
Bryant & Stratton College-Virginia Beach,484,open admission
Bryant & Stratton College-Wauwatosa,781,open admission
Bryant University,3477,73%
Bryn Athyn College of the New Church,331,88%
Bryn Mawr College,1334,38%
Buckeye Hills Career Center,202,open admission
Buckeye Joint Vocational School,102,open admission
Bucknell University,3611,31%
Buckner Barber School,23,open admission
Bucks County Community College,7784,open admission
Bucks County School of Beauty Culture Inc,72,open admission
Buena Vista University,1804,64%
Bull City Durham Beauty and Barber College,6,open admission
Bullard-Havens Technical High School,-9999,open admission
Bunker Hill Community College,11881,open admission
Burrell College of Osteopathic Medicine,0,not reported
Butler Beauty Academy,20,open admission
Butler Beauty Academy-Kittanning Beauty Academy,8,open admission
Butler Beauty Academy-New Castle Beauty Academy,17,open admission
Butler Community College,8828,open admission
Butler County Community College,3338,open admission
Butler Tech-D Russel Lee Career Center,211,open admission
Butler University,4293,65%
Butte Academy of Beauty Culture,37,open admission
Butte College,11386,open admission
Butte County Regional Occupational Program,75,open admission
Byzantine Catholic Seminary of Saints Cyril and Methodius,0,not reported
C. Alexander School of Cosmetology,12,open admission
CAAN Academy of Nursing,60,open admission
Cabarrus College of Health Sciences,419,84%
Cabell County Career Technology Center,76,open admission
Cabrillo College,11836,open admission
Cabrini University,1686,73%
Caddo Kiowa Technology Center,416,open admission
Cadillac Institute of Cosmetology,18,open admission
Cairn University-Langhorne,770,99%
CALC Institute of Technology,127,open admission
Caldwell Community College and Technical Institute,3495,open admission
Caldwell University,1603,64%
California Baptist University,7414,77%
California Barber and Beauty College,53,open admission
California Beauty School,98,open admission
California Career College,69,open admission
California Career Institute,179,74%
California Career School,86,open admission
California Christian College,16,100%
California College of the Arts,1486,64%
California College San Diego,875,open admission
California College San Diego,327,open admission
California Hair Design Academy,206,open admission
California Healing Arts College,162,open admission
California Health Sciences University,0,not reported
California Institute of Advanced Management,0,not reported
California Institute of Arts & Technology,804,open admission
California Institute of Integral Studies,50,not reported
California Institute of Technology,961,8%
